conf:
                      batch_size: 60
                    bg_thresh_hi: 0.3000
                    bg_thresh_lo: 0
                       bg_weight: 1
         drop_boxes_runoff_image: 1
                     feat_stride: 4
                     fg_fraction: 0.5000
                       fg_thresh: 0.5000
                     image_means: [1x1x3 single]
                   ims_per_batch: 2
                        max_size: 512
                 max_test_length: 3008
                 min_test_length: 64
                        rng_seed: 6
                          scales: 512
                  target_only_gt: 1
                     test_binary: 0
    test_drop_boxes_runoff_image: 0
                   test_max_size: 512
             test_min_box_height: 8
               test_min_box_size: 8
                        test_nms: 0.5000
                test_scale_range: [0.5000 1 2]
                     test_scales: 512
                     use_flipped: 0
                         use_gpu: 1
                        exp_name: 'old_conv3_s4'
                output_width_map: [1x1 containers.Map]
               output_height_map: [1x1 containers.Map]
                         anchors: [5 5 12 12]

opts:
                 cache_name: 'widerface_VGG16_stage1_rpn'
                       conf: [1x1 struct]
                     do_val: 1
    empty_image_sample_step: 1
                   exp_name: 'old_conv3_s4'
                 imdb_train: {[1x1 struct]}
                   imdb_val: [1x1 struct]
                   net_file: 'D:\RPN_BF_master\models\VGG16_widerface\pre_trained_models\vgg_16layers\v…'
                roidb_train: {[1x1 struct]}
                  roidb_val: [1x1 struct]
          snapshot_interval: 2000
            solver_def_file: 'D:\RPN_BF_master\models\VGG16_widerface\rpn_prototxts\vgg_leave\solver_30…'
               val_interval: 2000
                  val_iters: 1000

Preparing training data...Done.
Preparing validation data...Done.
Iter 1, Image 3086, 1880: 1.2 Hz, accuarcy = 0.4914, loss_bbox = 0.0000, loss_cls = 0.6940, accuracy_fg = 0.0000, accuracy_bg = 0.4500, 
Iter 2, Image 2189, 2172: 1.7 Hz, accuarcy = 0.5198, loss_bbox = 0.0000, loss_cls = 0.6909, accuracy_fg = 0.0000, accuracy_bg = 0.5167, 
Iter 3, Image 5472, 3122: 1.5 Hz, accuarcy = 0.6649, loss_bbox = 0.0000, loss_cls = 0.6836, accuracy_fg = 0.0000, accuracy_bg = 0.6667, 
Iter 4, Image 265, 6039: 1.6 Hz, accuarcy = 0.7217, loss_bbox = 0.0000, loss_cls = 0.6663, accuracy_fg = 0.0000, accuracy_bg = 0.6833, 
Iter 5, Image 5589, 7652: 1.6 Hz, accuarcy = 0.8335, loss_bbox = 0.0000, loss_cls = 0.6697, accuracy_fg = 0.0000, accuracy_bg = 0.8000, 
Iter 6, Image 5334, 6059: 1.6 Hz, accuarcy = 0.9584, loss_bbox = 0.0000, loss_cls = 0.6498, accuracy_fg = 0.0000, accuracy_bg = 0.8833, 
Iter 7, Image 9721, 1424: 1.8 Hz, accuarcy = 0.9939, loss_bbox = 0.0000, loss_cls = 0.6241, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 8, Image 9997, 5771: 1.6 Hz, accuarcy = 0.9992, loss_bbox = 0.0000, loss_cls = 0.6137, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 9, Image 8540, 9730: 1.7 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.5942, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 10, Image 2231, 9125: 1.8 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.5657, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 11, Image 8241, 10858: 1.6 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.5505, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
