conf:
                      batch_size: 20
                    bg_thresh_hi: 0.3000
                    bg_thresh_lo: 0
                       bg_weight: 1
         drop_boxes_runoff_image: 1
                     feat_stride: 4
                     fg_fraction: 0.5000
                       fg_thresh: 0.5000
                     image_means: [1x1x3 single]
                   ims_per_batch: 2
                        max_size: 512
                 max_test_length: 3008
                 min_test_length: 64
                        rng_seed: 6
                          scales: 512
                  target_only_gt: 1
                     test_binary: 0
    test_drop_boxes_runoff_image: 0
                   test_max_size: 512
             test_min_box_height: 8
               test_min_box_size: 8
                        test_nms: 0.5000
                test_scale_range: [0.5000 1 2]
                     test_scales: 512
                     use_flipped: 0
                         use_gpu: 1
                        exp_name: 'old_conv3_s4'
                output_width_map: [1x1 containers.Map]
               output_height_map: [1x1 containers.Map]
                         anchors: [5 5 12 12]

opts:
                 cache_name: 'widerface_VGG16_stage1_rpn'
                       conf: [1x1 struct]
                     do_val: 1
    empty_image_sample_step: 1
                   exp_name: 'old_conv3_s4'
                 imdb_train: {[1x1 struct]}
                   imdb_val: [1x1 struct]
                   net_file: 'D:\RPN_BF_master\models\VGG16_widerface\pre_trained_models\vgg_16layers\v…'
                roidb_train: {[1x1 struct]}
                  roidb_val: [1x1 struct]
          snapshot_interval: 2000
            solver_def_file: 'D:\RPN_BF_master\models\VGG16_widerface\rpn_prototxts\vgg_leave\solver_30…'
               val_interval: 2000
                  val_iters: 1000

Preparing training data...Done.
Preparing validation data...Done.
Iter 1, Image 3086, 1880: 1.3 Hz, accuarcy = 0.5712, loss_bbox = 0.0000, loss_cls = 0.6918, accuracy_fg = 0.0000, accuracy_bg = 0.6000, 
Iter 2, Image 2189, 2172: 1.9 Hz, accuarcy = 0.6268, loss_bbox = 0.0000, loss_cls = 0.6872, accuracy_fg = 0.0000, accuracy_bg = 0.6500, 
Iter 3, Image 5472, 3122: 1.8 Hz, accuarcy = 0.6897, loss_bbox = 0.0000, loss_cls = 0.6855, accuracy_fg = 0.0000, accuracy_bg = 0.6500, 
Iter 4, Image 265, 6039: 2.1 Hz, accuarcy = 0.9158, loss_bbox = 0.0000, loss_cls = 0.6823, accuracy_fg = 0.0000, accuracy_bg = 0.6000, 
Iter 5, Image 5589, 7652: 2.1 Hz, accuarcy = 0.9426, loss_bbox = 0.0000, loss_cls = 0.6555, accuracy_fg = 0.0000, accuracy_bg = 0.9500, 
Iter 6, Image 5334, 6059: 2.1 Hz, accuarcy = 0.9785, loss_bbox = 0.0000, loss_cls = 0.6399, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 7, Image 9721, 1424: 2.0 Hz, accuarcy = 0.9969, loss_bbox = 0.0000, loss_cls = 0.6127, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 8, Image 9997, 5771: 2.0 Hz, accuarcy = 0.9995, loss_bbox = 0.0000, loss_cls = 0.6104, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 9, Image 8540, 9730: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.5744, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 10, Image 2231, 9125: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.5494, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 11, Image 8241, 10858: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.5251, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 12, Image 4846, 584: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.5366, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 13, Image 10624, 10576: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.4992, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 14, Image 2829, 1981: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.4658, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 15, Image 7825, 9984: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.4558, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 16, Image 10044, 1232: 1.9 Hz, accuarcy = 0.9998, loss_bbox = 0.0002, loss_cls = 0.5913, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 17, Image 9895, 1272: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.3960, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 18, Image 5398, 3594: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.3758, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 19, Image 7465, 7867: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.3444, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 20, Image 10293, 2146: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.3362, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 21, Image 10712, 8330: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.3196, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 22, Image 7742, 4117: 1.9 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.3044, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 23, Image 1399, 11017: 2.0 Hz, accuarcy = 0.9999, loss_bbox = 0.0001, loss_cls = 0.4154, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 24, Image 5975, 6490: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.2627, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 25, Image 2516, 11648: 2.1 Hz, accuarcy = 0.9998, loss_bbox = 0.0004, loss_cls = 0.5475, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 26, Image 5546, 3258: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.2404, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 27, Image 6492, 5666: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.2164, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 28, Image 760, 10533: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.2036, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 29, Image 370, 10098: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.1925, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 30, Image 1303, 4783: 2.0 Hz, accuarcy = 0.9999, loss_bbox = 0.0001, loss_cls = 0.3619, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 31, Image 8286, 4420: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.1590, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 32, Image 3171, 1123: 2.0 Hz, accuarcy = 0.9998, loss_bbox = 0.0004, loss_cls = 0.5689, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 33, Image 9962, 2087: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.1496, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 34, Image 4205, 9052: 2.0 Hz, accuarcy = 0.9999, loss_bbox = 0.0001, loss_cls = 0.3189, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 35, Image 10900, 5869: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.1175, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 36, Image 6291, 1713: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0922, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 37, Image 8328, 1584: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.1031, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 38, Image 776, 3430: 2.0 Hz, accuarcy = 0.9998, loss_bbox = 0.0002, loss_cls = 0.6252, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 39, Image 4339, 9733: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.1000, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 40, Image 7121, 5797: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0910, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 41, Image 3444, 3281: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0889, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 42, Image 10887, 3335: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0969, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 43, Image 10139, 11558: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0939, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 44, Image 2133, 10912: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.1688, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 45, Image 6364, 10325: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0722, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 46, Image 7666, 11051: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0630, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 47, Image 1589, 9219: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0697, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 48, Image 168, 236: 2.0 Hz, accuarcy = 0.9998, loss_bbox = 0.0002, loss_cls = 0.7694, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 49, Image 7493, 11145: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0459, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 50, Image 4802, 2214: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0595, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 51, Image 4529, 6417: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0422, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 52, Image 7120, 8248: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.0518, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
