conf:
                      batch_size: 60
                    bg_thresh_hi: 0.3000
                    bg_thresh_lo: 0
                       bg_weight: 1
         drop_boxes_runoff_image: 1
                     feat_stride: 4
                     fg_fraction: 0.5000
                       fg_thresh: 0.5000
                     image_means: [1x1x3 single]
                   ims_per_batch: 2
                        max_size: 512
                 max_test_length: 3008
                 min_test_length: 64
                        rng_seed: 6
                          scales: 512
                  target_only_gt: 1
                     test_binary: 0
    test_drop_boxes_runoff_image: 0
                   test_max_size: 512
             test_min_box_height: 8
               test_min_box_size: 8
                        test_nms: 0.5000
                test_scale_range: [0.5000 1 2]
                     test_scales: 512
                     use_flipped: 0
                         use_gpu: 1
                        exp_name: 'old_conv3_s4'
                output_width_map: [1x1 containers.Map]
               output_height_map: [1x1 containers.Map]
                         anchors: [5 5 12 12]

opts:
                 cache_name: 'widerface_VGG16_stage1_rpn'
                       conf: [1x1 struct]
                     do_val: 1
    empty_image_sample_step: 1
                   exp_name: 'old_conv3_s4'
                 imdb_train: {[1x1 struct]}
                   imdb_val: [1x1 struct]
                   net_file: 'D:\RPN_BF_master\models\VGG16_widerface\pre_trained_models\vgg_16layers\v…'
                roidb_train: {[1x1 struct]}
                  roidb_val: [1x1 struct]
          snapshot_interval: 50
            solver_def_file: 'D:\RPN_BF_master\models\VGG16_widerface\rpn_prototxts\vgg_leave\solver_30…'
               val_interval: 50
                  val_iters: 100

Preparing training data...Done.
Preparing validation data...Done.
Iter 1, Image 8895, 4624: 1.4 Hz, accuarcy = 0.6535, loss_bbox = 0.0000, loss_cls = 0.6879, accuracy_fg = 0.0000, accuracy_bg = 0.6000, 
Iter 2, Image 5767, 6491: 1.9 Hz, accuarcy = 0.6757, loss_bbox = 0.0000, loss_cls = 0.6759, accuracy_fg = 0.0000, accuracy_bg = 0.8000, 
Iter 3, Image 8015, 796: 1.8 Hz, accuarcy = 0.8102, loss_bbox = 0.0000, loss_cls = 0.6648, accuracy_fg = 0.0000, accuracy_bg = 0.8333, 
Iter 4, Image 6724, 616: 2.0 Hz, accuarcy = 0.8841, loss_bbox = 0.0000, loss_cls = 0.6678, accuracy_fg = 0.0000, accuracy_bg = 0.8000, 
Iter 5, Image 1862, 4191: 2.0 Hz, accuarcy = 0.9536, loss_bbox = 0.0000, loss_cls = 0.6424, accuracy_fg = 0.0000, accuracy_bg = 0.9833, 
Iter 6, Image 6565, 613: 2.1 Hz, accuarcy = 0.9861, loss_bbox = 0.0000, loss_cls = 0.6283, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 7, Image 5251, 6584: 2.1 Hz, accuarcy = 0.9973, loss_bbox = 0.0000, loss_cls = 0.6098, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 8, Image 8222, 11770: 2.0 Hz, accuarcy = 0.9998, loss_bbox = 0.0000, loss_cls = 0.5870, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 9, Image 7077, 177: 1.9 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.5728, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 10, Image 4349, 5476: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.5428, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 11, Image 7967, 564: 1.9 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.5250, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 12, Image 4808, 2972: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.5052, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 13, Image 10613, 7683: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.4691, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 14, Image 4405, 693: 2.1 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.4376, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 15, Image 1846, 5000: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.4186, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 16, Image 8990, 6056: 1.9 Hz, accuarcy = 0.9998, loss_bbox = 0.0004, loss_cls = 0.4847, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 17, Image 1902, 3664: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.3852, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 18, Image 6111, 3877: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.3513, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 19, Image 1364, 2296: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.3451, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 20, Image 323, 11397: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.3324, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 21, Image 8145, 10669: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.2995, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
Iter 22, Image 1262, 11317: 2.0 Hz, accuarcy = 1.0000, loss_bbox = 0.0000, loss_cls = 0.2824, accuracy_fg = 0.0000, accuracy_bg = 1.0000, 
